                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                  1.489,                 1.2394,                 1.4406,                0.72661,                0.77333,                0.79872,                0.44909,                 1.5776,                 1.1171,                 1.4895,              0.0002192,              0.0002192,              0.0002192
                     72,                 1.4644,                 1.2246,                 1.4141,                0.75613,                 0.7917,                0.82384,                0.47244,                 1.5697,                 1.0722,                 1.4732,             0.00021213,             0.00021213,             0.00021213
                     73,                 1.4801,                 1.2418,                 1.4253,                0.75871,                0.79412,                0.82418,                0.47272,                 1.5632,                 1.0826,                  1.463,             0.00020506,             0.00020506,             0.00020506
                     74,                 1.4885,                 1.2579,                  1.436,                0.72544,                0.76866,                0.79992,                0.45772,                  1.561,                 1.0616,                 1.4686,             0.00019799,             0.00019799,             0.00019799
                     75,                 1.4565,                 1.2078,                 1.4176,                0.73758,                0.79093,                0.81105,                 0.4649,                 1.5428,                 1.0799,                 1.4667,             0.00019092,             0.00019092,             0.00019092
                     76,                 1.4536,                 1.2138,                 1.4184,                0.73736,                0.80137,                0.81604,                  0.474,                 1.5216,                 1.0565,                 1.4486,             0.00018385,             0.00018385,             0.00018385
                     77,                 1.4592,                 1.2214,                 1.4084,                0.77536,                0.81025,                0.83828,                 0.4847,                 1.5204,                 1.0349,                 1.4347,             0.00017679,             0.00017679,             0.00017679
                     78,                 1.4426,                 1.1755,                 1.3943,                0.75449,                0.80305,                0.82594,                0.47731,                 1.5384,                 1.0237,                 1.4447,             0.00016972,             0.00016972,             0.00016972
                     79,                 1.4452,                 1.1962,                 1.4147,                 0.7617,                0.80901,                0.83585,                0.48538,                 1.5167,                 1.0362,                 1.4476,             0.00016265,             0.00016265,             0.00016265
                     80,                 1.4349,                 1.1722,                 1.3968,                0.78178,                0.81037,                0.84476,                0.49673,                 1.4969,                 0.9882,                 1.4251,             0.00015558,             0.00015558,             0.00015558
                     81,                 1.4257,                 1.1665,                 1.3995,                0.76391,                0.82287,                0.83403,                 0.4887,                 1.5116,                 1.0211,                 1.4358,             0.00014851,             0.00014851,             0.00014851
                     82,                 1.4116,                 1.1448,                 1.4011,                0.78998,                0.82007,                0.85041,                0.50169,                 1.4985,                 1.0084,                 1.4286,             0.00014144,             0.00014144,             0.00014144
                     83,                  1.414,                 1.1621,                 1.3905,                0.76372,                0.81956,                0.84175,                0.50371,                 1.4696,                 1.0052,                 1.4086,             0.00013437,             0.00013437,             0.00013437
                     84,                 1.4045,                 1.1261,                 1.3877,                0.77687,                0.82756,                 0.8547,                0.51547,                 1.4711,                0.98037,                 1.4081,             0.00012731,             0.00012731,             0.00012731
                     85,                 1.4206,                 1.1569,                 1.3986,                0.76592,                0.83548,                0.84318,                0.50482,                 1.4659,                0.98778,                  1.406,             0.00012024,             0.00012024,             0.00012024
                     86,                 1.3827,                 1.0986,                 1.3623,                0.78391,                0.83584,                 0.8542,                0.51711,                 1.4521,                0.95761,                 1.3973,             0.00011317,             0.00011317,             0.00011317
                     87,                 1.3926,                 1.1187,                   1.38,                0.79764,                0.83969,                0.86129,                0.52148,                 1.4535,                 0.9783,                  1.402,              0.0001061,              0.0001061,              0.0001061
                     88,                 1.3803,                   1.11,                 1.3733,                0.80487,                 0.8399,                0.86163,                0.52603,                 1.4453,                0.96813,                 1.3863,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 1.3751,                  1.092,                 1.3708,                0.78569,                 0.8402,                0.86388,                0.52524,                 1.4448,                 0.9542,                 1.3926,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     89,                  1.365,                 1.0898,                 1.3567,                0.79687,                0.84635,                0.86369,                0.52913,                 1.4188,                 0.9345,                 1.3737,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 1.4762,                 1.0787,                 1.4167,                0.81497,                0.84027,                0.87827,                0.53539,                 1.4416,                0.91642,                 1.3908,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 1.4622,                 1.0408,                 1.4196,                0.80534,                0.84818,                0.88528,                0.54586,                 1.4138,                0.90035,                 1.3761,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 1.4427,                 1.0343,                 1.4187,                0.83357,                0.85217,                0.89257,                0.55488,                 1.4161,                 0.8908,                 1.3731,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 1.4277,                0.99875,                 1.4015,                0.82541,                0.85761,                0.89771,                0.56059,                 1.4044,                0.87575,                 1.3646,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                  1.426,                 1.0129,                 1.3908,                0.83475,                 0.8682,                0.90237,                 0.5689,                 1.3842,                0.86147,                 1.3494,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 1.4005,                0.98517,                 1.3926,                0.82824,                0.86884,                0.90359,                  0.569,                 1.3813,                0.86256,                 1.3482,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 1.3885,                0.97569,                 1.3741,                0.83632,                 0.8621,                0.90332,                0.57452,                 1.3715,                0.85155,                 1.3441,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 1.3722,                0.94174,                 1.3567,                0.84663,                0.86574,                0.90447,                0.57091,                 1.3745,                 0.8513,                 1.3443,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 1.3865,                0.95139,                  1.361,                0.84215,                0.87466,                0.90943,                0.58035,                 1.3616,                0.83614,                 1.3376,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                 1.3864,                0.95705,                 1.3675,                0.84427,                 0.8694,                0.90839,                 0.5816,                 1.3527,                0.83355,                  1.332,             2.1277e-05,             2.1277e-05,             2.1277e-05
